Scenario,alpha,HC
S1,0.0,0.13996802087273613
S1,0.025,0.13996802087273613
S1,0.05,0.13996802087273613
S1,0.075,0.13996802087273613
S1,0.1,0.13996802087273613
S2,0.0,0.1402097347464712
S2,0.025,0.14040661135334037
S2,0.05,0.14061092339877596
S2,0.075,0.14081197020692057
S2,0.1,0.14100969893900217
S3,0.0,0.04039421398439503
S3,0.025,0.0455801889892277
S3,0.05,0.050777033154182714
S3,0.075,0.05597057724613546
S3,0.1,0.061160505563480544
S4,0.0,0.04074344476044742
S4,0.025,0.043430905366984525
S4,0.05,0.04613309706246104
S4,0.075,0.04881924190695157
S4,0.1,0.05150946395090829
S5,0.0,0.537667396971948
S5,0.025,0.537667396971948
S5,0.05,0.537667396971948
S5,0.075,0.537667396971948
S5,0.1,0.537667396971948
S6,0.0,0.5387594728812517
S6,0.025,0.538955043150143
S6,0.05,0.5391580495016658
S6,0.075,0.539357833764882
S6,0.1,0.5395542837997053
S7,0.0,0.43897057009747037
S7,0.025,0.4441440710350248
S7,0.05,0.44932849645612993
S7,0.075,0.45450965636276364
S7,0.1,0.4597066733442858
S8,0.0,0.43921085999006937
S8,0.025,0.44190578748103165
S8,0.05,0.4445766629552163
S8,0.075,0.4472610391189008
S8,0.1,0.4499430249693212
S9,0.0,0.3395212279850289
S9,0.025,0.3471683495174965
S9,0.05,0.35482791815457515
S9,0.075,0.36248490078644
S9,0.1,0.3701609820272834
