Scenario,alpha,HC
S1,0.0,2.242601047688066
S1,0.025,2.242601047688066
S1,0.05,2.242601047688066
S1,0.075,2.242601047688066
S1,0.1,2.242601047688066
S2,0.0,1.8427762930094624
S2,0.025,1.8528106545573024
S2,0.05,1.862859654160447
S2,0.075,1.8729125130183417
S2,0.1,1.8829689436595058
S3,0.0,1.7429706689780111
S3,0.025,1.758048718941602
S3,0.05,1.7731202292068906
S3,0.075,1.788219000673868
S3,0.1,1.8032990693638216
S4,0.0,1.8423416470655474
S4,0.025,1.8524054083168124
S4,0.05,1.8624897427219511
S4,0.075,1.8725792410106685
S4,0.1,1.8826733836500738
S5,0.0,2.2510234152591906
S5,0.025,2.2510234152591906
S5,0.05,2.2510234152591906
S5,0.075,2.2510234152591906
S5,0.1,2.2510234152591906
S6,0.0,1.8511358813052976
S6,0.025,1.8612366373809552
S6,0.05,1.871348770650043
S6,0.075,1.8810260534898613
S6,0.1,1.8915837955681032
S7,0.0,1.7515512693676496
S7,0.025,1.7666911308230324
S7,0.05,1.7818476658343205
S7,0.075,1.7970083122312235
S7,0.1,1.8121985573551471
S8,0.0,1.8509297726404186
S8,0.025,1.861101851179456
S8,0.05,1.8712457823182558
S8,0.075,1.8814174131109331
S8,0.1,1.8915936999224106
S9,0.0,1.7513458475402421
S9,0.025,1.7665259350462046
S9,0.05,1.7817291076774264
S9,0.075,1.7969655984159552
S9,0.1,1.8121522666648444
