Scenario,alpha,HC
S1,0.0,0.13996801190551778
S1,0.025,0.13996801190551778
S1,0.05,0.13996801190551778
S1,0.075,0.13996801190551778
S1,0.1,0.13996801190551778
S2,0.0,0.14021329129688648
S2,0.025,0.14040660701459146
S2,0.05,0.1406109337736106
S2,0.075,0.14081196749565125
S2,0.1,0.14100967280102303
S3,0.0,0.0403984123663816
S3,0.025,0.04558012509058646
S3,0.05,0.05077695748332099
S3,0.075,0.0559705107528246
S3,0.1,0.0611604549072258
S4,0.0,0.04074343381005268
S4,0.025,0.043430883989380234
S4,0.05,0.04612664593735335
S4,0.075,0.04881921941912492
S4,0.1,0.05150930551913305
S5,0.0,0.5376673966443571
S5,0.025,0.5376673966443571
S5,0.05,0.5376673966443571
S5,0.075,0.5376673966443571
S5,0.1,0.5376673966443571
S6,0.0,0.5387594735892455
S6,0.025,0.538955049270773
S6,0.05,0.5391580505173338
S6,0.075,0.5393578172753127
S6,0.1,0.5395542796199108
S7,0.0,0.4389705250998428
S7,0.025,0.44414401034664097
S7,0.05,0.4493284413448598
S7,0.075,0.4545291293443188
S7,0.1,0.45968715095939233
S8,0.0,0.4392108390980483
S8,0.025,0.441889494467868
S8,0.05,0.4445766415980185
S8,0.075,0.44726100355356213
S8,0.1,0.4499429644142553
S9,0.0,0.3395357810880334
S9,0.025,0.3471680050701897
S9,0.05,0.354827533146702
S9,0.075,0.3624845483109479
S9,0.1,0.3701390797244381
